,E[CR],CR5(CVaR),Var_Load,Time_reopt,Switch,J
A,0.8358373283464853,0.8027234904826417,0.0,0.0,6.0,0.41977637923141375
B,0.8391829138977144,0.8216767206064436,0.0,2.0,31.0,0.30629707798969497
C,0.8607625830678928,0.8562098426680531,0.0,173.0,16.0,0.39190943190072247
D,0.8680483926766367,0.8632587898863059,824403296892.4564,5.925722217559814,9.131,0.28032979703320293
E,0.8680483926766367,0.8632587898863059,824403296892.4564,1463.9139005661011,9.131,0.2791148068845792
